Wireless Internet,1164
Heating,1156
Kitchen,1143
Smoke Detector,1076
Essentials,1047
Air Conditioning,980
Carbon Monoxide Detector,933
TV,917
Internet,904
Shampoo,888
Dryer,806
Washer,801
Hangers,776
Laptop Friendly Workspace,735
Hair Dryer,709
Iron,690
Family/Kid Friendly,665
Cable TV,622
Fire Extinguisher,600
24-Hour Check-in,489
First Aid Kit,395
Buzzer/Wireless Intercom,333
Free Parking on Premises,281
Elevator in Building,238
Safety Card,191
translation missing: en.hosting_amenity_50,183
Lock on Bedroom Door,173
Pets Allowed,171
Indoor Fireplace,158
translation missing: en.hosting_amenity_49,140
Pets live on this property,114
Gym,99
Breakfast,87
Doorman,74
Hot Tub,70
Dog(s),67
Wheelchair Accessible,47
Suitable for Events,44
Pool,38
Cat(s),35
Smoking Allowed,23
Free Parking on Street,7
Other pet(s),4
Paid Parking Off Premises,3
Washer / Dryer,1
